State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,10/15/2006,19.25,0.022333,0.291667,0.495833
Arizona,Maricopa,Phoenix,10/16/2006,27.166667,0.018125,0.5,0.609091
Arizona,Maricopa,Phoenix,10/17/2006,23.954545,0.02275,0.173913,0.604348
Arizona,Maricopa,Phoenix,10/18/2006,28.458333,0.016542,0.625,0.533333
Arizona,Maricopa,Phoenix,10/19/2006,25.125,0.017208,1,0.691667
Arizona,Maricopa,Phoenix,10/20/2006,30.416667,0.013833,1.541667,0.833333
Arizona,Maricopa,Phoenix,10/21/2006,27.458333,0.018833,0.916667,0.820833
Arizona,Maricopa,Phoenix,10/22/2006,29.5,0.017792,2.125,1.308333
Arizona,Maricopa,Phoenix,10/23/2006,31.25,0.015917,2.208333,1.054167
Arizona,Maricopa,Phoenix,10/24/2006,26.947368,0.015917,0.318182,0.434783
Arizona,Maricopa,Phoenix,10/25/2006,19.25,0.022042,0.083333,0.308333
Arizona,Maricopa,Phoenix,10/26/2006,19.791667,0.019708,0.083333,0.366667
Arizona,Maricopa,Phoenix,10/27/2006,34.5,0.014458,1.375,0.820833
Arizona,Maricopa,Phoenix,10/28/2006,32.666667,0.017375,2.5,1.270833
Arizona,Maricopa,Phoenix,10/29/2006,32.083333,0.012042,2.166667,0.7875
Arizona,Maricopa,Phoenix,10/30/2006,35.136364,0.013917,1.173913,0.73913
Arizona,Maricopa,Phoenix,10/31/2006,38.714286,0.014833,1.434783,0.778261
Arizona,Maricopa,Phoenix,11/1/2006,40.333333,0.014167,2.125,1.1
Arizona,Maricopa,Phoenix,11/2/2006,44.916667,0.011083,2.416667,1.166667
Arizona,Maricopa,Phoenix,11/3/2006,44.791667,0.012333,3.708333,1.566667
Arizona,Maricopa,Phoenix,11/4/2006,35.208333,0.01675,1.291667,0.770833
Arizona,Maricopa,Phoenix,11/5/2006,37.5,0.01525,1.25,0.979167
